Year,Country,Fuels_Coal,Fuels_Oil,Fuels_Gas,Fuels_Cement,Fuels_Flaring,Fuels_Bunkers,Fuels_Total
1956,World,1254.36490547951,685.299726449987,160.301924157429,31.7924672193152,29.5234085463292,54.919,2216.2014318525707
1957,World,1277.47232758279,715.741512896616,176.533700205624,33.4201865874841,29.0353480035656,61.049,2293.25207527608
1958,World,1297.3041728977,744.230951823409,192.686870246019,35.3968437540195,25.959292431887,56.743,2352.3211311530345
1959,World,1350.17081378677,792.574569182719,206.991340027113,39.6410463417661,25.0255273386909,58.234,2472.6372966770587
1960,World,1406.099255838,853.085513590486,227.818529722603,42.9568302175531,24.3286606197294,64.9835472023484,2619.27233719072
1961,World,1348.07111199046,904.274449066763,240.776754379702,44.7994552430675,23.5312489774176,71.8391763674155,2633.292196024825
1962,World,1344.03002242698,972.049247655953,264.155815546738,48.1350382062524,23.4527278082998,74.4821158339787,2726.304967478201
1963,World,1393.09238320332,1038.89374803815,285.755482096793,50.7599277602816,24.7014703991337,77.9719324606757,2871.174943958354
1964,World,1421.8356884476,1120.91431124353,314.697246451999,56.2661046662338,30.7838065585684,85.4191210255089,3029.9162783934403
1965,World,1442.60647731569,1204.09716222249,335.897838172779,59.0782429144105,35.6012040316154,88.234660579806,3165.515585236791
1966,World,1459.23576882919,1299.45424034359,365.730240560307,63.6041751112225,39.4558095989839,95.4746813659886,3322.954915809282
1967,World,1435.36101973013,1385.40762135485,391.13778444232,65.4805625876295,52.0695770393856,102.148202004982,3431.6047671592974
1968,World,1451.27326355613,1509.09083758726,425.693238170476,69.7129476499885,55.6223411558745,108.043405201557,3619.4360333212862
1969,World,1505.49165611787,1631.94592598228,466.343068442142,73.9204295745746,66.6033928721885,113.101743220593,3857.406216209648
1970,World,1554.7413915242,1855.93426122322,488.77108800885,78.7360081085208,75.8037434443398,119.229645104851,4173.216137413981
1971,World,1555.20692790495,1965.47799968493,527.701191873428,82.8030767402662,87.7311904566724,125.903807389884,4344.82419405013
1972,World,1552.90877725821,2119.21815940976,560.110741746672,87.7610951998117,94.6757327229708,134.257862103619,4548.932368441043
1973,World,1599.76595445287,2244.41746357084,601.556568384331,92.9363353724096,109.760772511034,143.654649307331,4792.091743598815
1974,World,1599.35094618917,2212.17081584446,616.597261373744,93.0668671889165,106.814777835338,133.433554440974,4761.434222872602
